228,-156,332,312,-103,-544,-112,662,129,-51,-179,105,47,52,-265,33
-6,-134,26,-156,16,87,132,-60,38,37,155,-40,109,105,128,-8
161,-134,-9,55,11,-1,141,-53,-93,-37,-325,-102,-104,152,-200,76
10,-100,86,-33,157,-211,-123,-75,-57,19,-219,-124,-39,244,-71,90
-171,83,-251,-214,-43,-140,-143,-265,158,-80,126,-314,-171,128,40,-257
-187,199,-15,-341,-20,378,137,29,-46,211,-330,-32,-98,388,-283,388
350,21,-307,159,-53,124,-113,-225,123,-238,50,4,-57,-519,-182,338
-148,-74,51,-133,-234,302,-177,-441,-38,-112,92,171,33,494,-6,-127
-14,13,-89,151,44,21,53,-210,-80,-173,34,-64,44,-55,-119,61
-201,-316,121,-137,-105,20,-1,-122,60,-221,50,-125,207,82,-55,-181
-55,-28,-48,-275,17,-4,81,-266,-165,-130,125,-51,156,-63,241,-32
33,29,77,-143,-92,155,-155,31,95,-66,-71,-2,109,19,11,-104
-56,-105,249,192,-157,102,-76,-105,169,21,-252,-112,-158,-398,263,41
-10,-81,-125,-130,-16,38,145,58,-49,74,-138,-62,-138,64,-115,-150
5,81,-33,127,46,-65,47,-21,39,-100,-32,11,-51,-67,-84,50
0,-54,76,106,-149,85,-42,26,171,-49,46,-119,88,-188,130,63
