7,-82,-22,-70,88,-17,-70,-40
-23,-48,-21,30,84,-3,111,-35
-109,13,5,41,-56,7,55,15
-11,-25,2,19,-109,63,8,56
-38,-67,68,126,136,32,115,160
7,20,22,27,-70,-34,-67,64
14,104,9,91,71,-20,-7,57
-62,-14,23,0,108,44,-33,48
-13,-1,-47,-42,76,-3,18,-98
33,119,45,-6,-90,-80,-28,-14
49,84,10,25,-52,45,-43,38
6,-5,-42,48,97,46,-25,27
-71,47,40,64,-128,-37,-18,90
53,39,41,-6,-47,-115,75,-46
38,12,114,143,17,-45,135,172
40,-118,-51,-45,33,65,1,-32
-52,1,-55,-30,18,34,4,-72
-21,59,-11,4,-77,35,41,-35
-10,-114,-101,-74,20,164,-65,-48
-3,36,-77,-91,-107,-52,-134,-126
-40,114,36,38,-36,-58,56,-12
18,-23,-77,-106,19,-100,-162,-123
-33,19,-28,48,120,102,2,33
17,5,22,65,-98,23,24,87
-53,3,23,-34,-35,87,30,-1
47,52,19,-43,-64,-37,32,-66
-152,120,28,125,-55,37,69,79
-36,111,-1,39,-45,-55,-83,21
-9,66,6,-123,-158,-10,-157,-61
2,-216,-40,5,62,132,107,37
-31,-72,23,-3,-133,41,87,28
-36,3,-19,-84,-80,34,-73,-55
